ID,latitude,longitude,name,mean_checkin_time,review,category
11042,29.9546832,-90.0649458,Big Easy Daiquiris,1,"Other than the price of the daiquiris, the place is decent.  Nice selection and you can get a beer if you don't want to put your man card away while drinking one of these.",Restaurants
12662,29.9357457,-90.0788195,The Trolley Stop Cafe,18,"I have been to the Trolley Stop on 3 ocassions while staying at a nearby hotel in the Garden District.  Although the place on the inside was mediocre, the food was good.  I really love the fried catfish.",Restaurants
12716,29.9306515,-90.0746463,Magazine Discount Market,19,This was the most disgusting place I've ever walked into. Got over charged very bad and the lady working there was really rude. Don't go in here unless your desperate.,Restaurants
11258,29.92498442,-90.08495863,La Divina Gelateria,3,"I've only ever had the gelato here - never tried the sandwiches, salads, coffee or pastries - but judging by the superior quality of the gelato, I'd feel pretty secure in recommending everything this place has to offer. This is seriously some of the best gelato I've ever had, and I love the creative and adventurous flavor combinations that are constantly being invented. I had the green tomato gelato with orange and clove honey, and the salted caramel, and both were outstanding. A great gelato shop, full stop. Highest recommendation possible.",Restaurants
10756,29.94372972,-90.07062974,Contemporary Arts Center,20,"I've only been to the CAC for parties, bands, and events.  Honestly I've never found most of the art here very interesting but I'm not really into modern/contemporary art as I much prefer the more classical approach.  This place is a great party and event venue and I've had lots of good times here.  Admission:  $5 General Admission $3 for Students & Seniors FREE to CAC Members",Shopping
10631,29.94092614,-90.09499354,Ross Dress for Less,16,Found what I needed right away however... Ridiculously long line because they decided to have 2 registers open !! Friends went next door to TJ max and they finished before me!,Shopping
12981,29.9626308,-90.0578342,Mona's Cafe,22,"Beggars can't be choosers. One of my favorite cuisines is Middle Eastern, so when you have a taste for lamb and Hommos, I was going to eat anyway!  It's quite a large space, and with over 16 tables, and yet at 7 PM there are six of us in here.  The three German cockroaches that were dancing under my feet the entire meal are an indication of their comfort level. This place hasn't seen a professional cleaner in years.  I really enjoyed the lamb dish, however the bread was not fresh ( it would be acceptable if you were serving this dish at home, but not at a restaurant). So the stars go to the lamb.   At the end of the meal I asked for coffee, which was served slightly warm at best. I asked the waitress to get me a hot coffee, and the answer was that they would need to remake another pot  For it to be served hot. That was as far as the conversation goes....  Shame .... I gave a 10% tip and also wrote tips"" on the receipt.""",Restaurants
11743,29.9718022,-90.0672477,AJ’s Jazzy Grill,9,If you haven't tried AJ's yet you missing out on an explosion of flavor and goodness....my suggestion is to call and order ahead....all great eateries always have a line or a wait....,Restaurants
10162,29.9209047,-90.0969509,Kiehl’s Since 1851,4,"Today was its grand opening it was packed, a little surprise that the employees didn't know the stock. From what I saw the prices seem to be about the same as they are on line out of New York I think ordering online you'll save the tax but this a good place to come and see if you like the product wish him all the best",Shopping
12676,29.944423,-90.0660621,World Of Beer,18,The beer cheese is made with local beer and has awesome flavor. The tavern taters are the best. The barbacoa street tacos are loaded with flavor and chili powder. Beer selection is really hard to beat. Try an infused beer they are interesting.,Restaurants
11200,29.9418183,-90.0947971,Phillys Cafe,2,"WooHoo, best philly cheese staks I have had in New Orleans. These guys are between the McDonalds and the old Pizza Hut on Claiborne, I got carry out for the first time from there and wow it was good. They are not dripping grease like most cheese steaks and the bread is great. Many times the sub rolls on cheese staks are huge and you end up with too much bread, not the case here. WARNING, they spice their meat and it has a bit of kick. Definately give these guys a shot if you are in the area.",Restaurants
13081,30.0052147,-90.1098502,Koz's Lakeview,23,After hearing some good things about Koz's from some friends and family my girlfriend and I decided to venture on over to Lakeview and check them out.   The first thing I noticed was the politeness of the staff. Even though Koz's is your typical po-boy and hot plate lunch/dinner menu it's always nice when your a first timer to be walked through it and have some of the more popular customer selections pointed out to you. Everything looked and sounded delicious and I was really intrigued by the ability to order a po-boy in either 8,Restaurants
12273,29.9607788,-90.0589803,Palm Court Jazz Cafe,14,"We visited New Orleans for the first time in March/2016 with our friends. We tried getting into Preservation Hall but it was booked both times. We found this cafe by luck and thank god we did. It's well lit, clean and the music was great!!! This was exactly the type of ambience we were looking for.",Restaurants
12157,30.02658214,-90.11346847,Landry's Seafood House,13,"Apart from the salads, the food is not that good. The servers are slow and mess up orders (and forget to bring water when requested).",Restaurants
10547,29.9552438,-90.0671754,David's Antiques and Jewelry,15,"I had the best shopping experience here! Sellers are nice and eespectful. David's Antiques stocks something for any budget. Very unique pieces. I got silver necklace  (see pic), very high quality!  Highly recommend to all my New York fellas.",Shopping
12014,29.9411151,-90.1234407,The Boot Bar and Grill,11,"What else can I say besides Wow""? The Boot is THE bar. Where else can you meet your future wife",Restaurants
12900,29.93508869,-90.10915853,Liberty Cheesesteaks,21,"Honestly, ignore everything I said before. I don't care that they didn't answer the phone the first few times I called or that they had potty mouths...I ordered one Original and one Wiz last night and ate BOTH by myself...and I just opened my eyes at 11:30 today and just ordered delivery AGAIN. Liberty is my new happy place!",Restaurants
13198,29.969436,-90.052175,The Mayhaw Bar,3,"I agree with some of the reviews that the service here is less than desirable, but I greatly enjoyed the happy hour special of five dollar cocktails.   I had two of the happy hour cocktails and by the middle of my second one I was completely lit. The presentation was good and I enjoyed the flavor and the amount of alcohol that was in my drinks.  While I would not come back here for drinks alone,I definitely will come back to the Mayhaw Bar for happy hour and to partake in happy hour at one of the other businesses in the market.",Nightlife
10568,29.9540454,-90.0667039,Purity Body Arts,15,"I decided to get my earlobes pierced during my trip to New Orleans and I am very impressed by the cleanliness of the store  and the calming and welcoming environment. The staff is friendly and helpful and the essential oils they were diffusing smelled wonderful.   Dylan pierced my ears and he is very informative and explains everything that he is doing.  He was through with the aftercare needs of a piercing and answered all my questions. He is friendly and engaging and just a genuinely nice guy.   The only reason I give this 4 starts instead of 5 is because of pricing. Pricing is all on their website but I did not expect to pay $200 (tax and tip included in this total) to get my ears pierced. I was a little shocked at the pricing at first  but when you consider the type of equipment they are using and the earring quality, I think It's worth the investment.     I would recommend this place again and would go back there if I am ever back in the area and looking for another piercing.  Edit:  Earrings are priced individually and not as a set.  Prices for earrings start at $55 per earring.",Shopping
11475,29.97478882,-90.05702319,Pelican Bay,5,"Absolutely the best pina colada daiquiri in town! I went there the other week and got 3 daiqs to go; they were all really good (and the long island daiquiri packed a punch), but it's the pina colada that will keep me coming back.  The bartender was really friendly. She offered suggestions, and gave me samples. One of the owners was hanging around too. The whole place had a very welcoming vibe.  I didn't get any food (which is the only reason I didn't want to go with a full 5 stars), but I'm excited to see they have vegetarian-friendly options. I'll be sure to sit down for a meal next time!",Restaurants
11653,29.9576181,-90.0653889,The Court of Two Sisters,7,"Tip the waitress and sit in the courtyard, it's nicer and worth whatever you give them to get there.  Or make a reservation if you can still keep time in New Orleans.  I am not a fan of buffet style but the food we had was good.  High quality for a buffet.  I had a piece of cake there that was amazingly good.  I think it was a doberge cake, it had yellow cake, buttercream, apple compote(i think) and chocolate icing.  I like cake and this one is worth trying.  The catfish and the shrimp etouffee are good.  Expensive with booze, but what else you going to do.",Restaurants
12114,29.9761,-90.099526,WOW Café,12,"Meh.  40 bucks for two cokes, an app and 25 wings?  They have a large selection of sauces, but none of them are spectacular.  Food is decent quality, but nothing special, kind of like a Chili's.  We go here for football games occasionally because they are never very busy.    Service is generally friendly and helpful.  Next time I need to remember to go for the chicken tenders tossed in sauce rather than wings because it's the same price and I would hope you get more chicken.  Once upon a time they had beer specials during football season, but I didn't see anything about it recently. Like I said, meh.",Restaurants
12288,29.96867578,-90.05284728,Shank Charcuterie,14,"Quaint, cozy and clean. The Boudin ain't boudin in the traditional sense. The hard brown rice chewy casing and under seasoned pork lacking any hint of Cajun seasoning was way off the mark.  The saving grace was the beef and onion over coconut rice, the cordial owner/cook and nice renevation of the space.",Restaurants
10611,29.951857,-90.065487,J.Crew,16,"Ashley's customer service was impeccable.  Friendly and helpful, but not fake or pushy in any way.  She truly went the distance, helping me look up a specific pair of pants in my size and getting me the in-store sale price when i ordered them over the phone!",Shopping
12154,29.9426058,-90.1342742,La Patrona,13,"Not only does la patrona serve amazing food, but the service was quick and friendly. My tacos were perfectly prepared and plated and the price is hard to beat. Will be eating here again!",Restaurants
13225,29.9895785,-90.04956167,Culture Park,5,At first I had no idea where I was at but was invited for an event. It was definitely a great surprise when I walked in! The space was great for an event! Even though it's an outside event they had fans to keep you cool and enough shaded area if you needed it. Love the vibe and the fact that they had a set up for a DJ. The DJ was awesome and the bartender was great as well! If you ever need a space for your event and don't mind being outside then definitely give this place a call!,Nightlife
11624,29.969115,-90.053999,Kebab,7,"In a quickly gentrifying neighborhood full of small plate bullshit, Kebab comes as a breath of fresh air. Hungry and a little inebriated after a Saints' win on a Sunday and mulling over what to eat, my s.o. and I decided on Kebab.  The menu comes simple; usually a pork option, a chicken, and then a falafel which can be made vegan or just vegetarian. I'm a huge falafel fan so I ordered the falafel and the s.o. ordered the gyro. The kebabs come on a flat baked bread, which I actually prefer to a pita since they can hold up to all the dressings. My falafel came with a nice heaping portion of arugula, beets, hummus, and tzatziki. The falafel didn't taste fried and had lots of flavor, so I like to think that my meal here was healthy. I think I'll probably be ordering a meat option next time because I couldn't help myself from stealing bites of the gyro kebab which was covered in a cilantro sauce. We also ordered a side order of fries, which were okay. They're thick cut fries that don't have that much crunch to them, but they do come with an addicting garlic aioli. Both the meat option and the falafel tasted extremely fresh, yet filling.   I'm hoping that they get to expand their hours soon to include weekdays, because I'm a huge fan and am loving the new affordable dining option.",Restaurants
10940,29.9573006,-90.0680821,Bayona,0,"We came here for late lunch Saturday, so got to pick three small plates from the menu. The cocktail menu looked delicious, but we settled on sharing a bottle of moderately priced Gruner. I'm a HUGE seafood fan, so was disappointed to hear that they were already out of the scallop and pampano plates. Instead I chose to start with the garlic soup, which was yummy. Next I had the oysters, which were pretty darn good. Finally came the shrimp (the substitution item for scallops prepared the same way) and they were fantastic...and they even included one little scallop as a surprise! The food was good, but the atmosphere and staff were sort of stiff, which perhaps took away from the experience. If I came back, I would like to sit out in the courtyard.",Restaurants
